llama,gas,movimiento,label
0,480.0,1,0
0,527.0,1,0
0,496.0,1,0
0,480.0,1,0
0,478.0,1,0
0,551.0,1,0
0,480.0,1,0
0,567.0,1,0
0,559.0,1,0
0,481.0,1,0
0,557.0,1,0
0,580.0,1,0
0,511.0,1,0
0,569.0,1,0
0,496.0,1,0
0,583.0,1,0
0,459.0,1,0
0,507.0,1,0
0,499.0,1,0
0,549.0,1,0
0,491.0,1,0
0,576.0,1,0
0,494.0,1,0
0,545.0,1,0
0,495.0,1,0
0,557.0,1,0
0,498.0,1,0
0,506.0,1,0
0,544.0,1,0
0,493.0,1,0
0,534.0,1,0
0,560.0,1,0
0,561.0,1,0
0,573.0,1,0
0,558.0,1,0
0,559.0,1,0
0,482.0,1,0
0,491.0,1,0
0,565.0,1,0
0,491.0,1,0
0,483.0,1,0
0,563.0,1,0
0,502.0,1,0
0,499.0,1,0
0,480.0,1,0
0,471.0,1,0
0,544.0,1,0
0,541.0,1,0
0,498.0,1,0
0,565.0,1,0
0,506.0,1,0
0,539.0,1,0
0,544.0,1,0
0,494.0,1,0
0,535.0,1,0
0,496.0,1,0
0,560.0,1,0
0,545.0,1,0
0,559.0,1,0
0,497.0,1,0
0,463.0,1,0
